1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
132020;Erregung öffentlichen Ärgernisses § 183a StGB;insg.;1,637;529;1,108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;14;61;101;19;82;176;33;143;147;41;106;323;74;249;105;28;77;86;30;56;191;58;133;236;72;164;345;109;236;242;88;154;180;77;103;120;51;69;1,314;455;859
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;voll.;980;256;724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;166;488;326;90;236;980;256;724;0;0;0;980;256;724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;vers.;246;87;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;50;102;94;37;57;246;87;159;0;0;0;246;87;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;insg.;1,226;343;883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;806;216;590;420;127;293;1,226;343;883;0;0;0;1,226;343;883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;voll.;224;96;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;63;65;96;33;63;224;96;128;0;0;0;224;96;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;vers.;159;55;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;30;65;64;25;39;159;55;104;0;0;0;159;55;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;insg.;383;151;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223;93;130;160;58;102;383;151;232;0;0;0;383;151;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;voll.;756;160;596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;526;103;423;230;57;173;756;160;596;0;0;0;756;160;596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;vers.;87;32;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;20;37;30;12;18;87;32;55;0;0;0;87;32;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;insg.;843;192;651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;583;123;460;260;69;191;843;192;651;0;0;0;843;192;651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;voll.;146;29;117;1;0;1;3;0;3;1;1;0;1;0;1;15;3;12;21;4;17;54;15;39;54;9;45;108;24;84;3;0;3;132;28;104;2;0;2;0;0;0;2;0;2;5;0;5;7;1;6;0;0;0;0;0;0;0;0;0;14;1;13
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;vers.;26;5;21;0;0;0;3;0;3;2;0;2;0;0;0;4;2;2;9;2;7;10;1;9;7;2;5;17;3;14;0;0;0;26;5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;insg.;172;34;138;1;0;1;6;0;6;3;1;2;1;0;1;19;5;14;30;6;24;64;16;48;61;11;50;125;27;98;3;0;3;158;33;125;2;0;2;0;0;0;2;0;2;5;0;5;7;1;6;0;0;0;0;0;0;0;0;0;14;1;13
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;voll.;126;28;98;1;0;1;3;0;3;1;1;0;1;0;1;14;3;11;20;4;16;54;15;39;52;9;43;106;24;82;0;0;0;126;28;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;vers.;26;5;21;0;0;0;3;0;3;2;0;2;0;0;0;4;2;2;9;2;7;10;1;9;7;2;5;17;3;14;0;0;0;26;5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;insg.;152;33;119;1;0;1;6;0;6;3;1;2;1;0;1;18;5;13;29;6;23;64;16;48;59;11;48;123;27;96;0;0;0;152;33;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;voll.;94;18;76;1;0;1;2;0;2;1;1;0;0;0;0;6;2;4;10;3;7;34;6;28;50;9;41;84;15;69;0;0;0;94;18;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;vers.;21;5;16;0;0;0;3;0;3;0;0;0;0;0;0;3;2;1;6;2;4;9;1;8;6;2;4;15;3;12;0;0;0;21;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;insg.;115;23;92;1;0;1;5;0;5;1;1;0;0;0;0;9;4;5;16;5;11;43;7;36;56;11;45;99;18;81;0;0;0;115;23;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;voll.;32;10;22;0;0;0;1;0;1;0;0;0;1;0;1;8;1;7;10;1;9;20;9;11;2;0;2;22;9;13;0;0;0;32;10;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;vers.;5;0;5;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;3;0;3;1;0;1;1;0;1;2;0;2;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;insg.;37;10;27;0;0;0;1;0;1;2;0;2;1;0;1;9;1;8;13;1;12;21;9;12;3;0;3;24;9;15;0;0;0;37;10;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141200;Ausbeuten von Prostituierten § 180a StGB;voll.;20;1;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2;0;2;2;0;2;3;0;3;6;0;6;2;0;2;0;0;0;2;0;2;5;0;5;7;1;6;0;0;0;0;0;0;0;0;0;14;1;13
141200;Ausbeuten von Prostituierten § 180a StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141200;Ausbeuten von Prostituierten § 180a StGB;insg.;20;1;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2;0;2;2;0;2;3;0;3;6;0;6;2;0;2;0;0;0;2;0;2;5;0;5;7;1;6;0;0;0;0;0;0;0;0;0;14;1;13
142000;Zuhälterei § 181a StGB;voll.;130;9;121;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;5;1;4;7;1;6;17;0;17;25;1;24;11;1;10;16;1;15;27;2;25;26;3;23;38;2;36;9;0;9;5;1;4;0;0;0;105;8;97
142000;Zuhälterei § 181a StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142000;Zuhälterei § 181a StGB;insg.;130;9;121;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;5;1;4;7;1;6;17;0;17;25;1;24;11;1;10;16;1;15;27;2;25;26;3;23;38;2;36;9;0;9;5;1;4;0;0;0;105;8;97
145000;Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;voll.;609;85;524;7;4;3;1;1;0;6;2;4;7;3;4;26;5;21;47;15;32;39;5;34;40;3;37;79;8;71;84;5;79;210;28;182;47;5;42;46;4;42;93;9;84;82;8;74;110;20;90;54;10;44;44;7;37;16;3;13;399;57;342
145000;Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145000;Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;insg.;609;85;524;7;4;3;1;1;0;6;2;4;7;3;4;26;5;21;47;15;32;39;5;34;40;3;37;79;8;71;84;5;79;210;28;182;47;5;42;46;4;42;93;9;84;82;8;74;110;20;90;54;10;44;44;7;37;16;3;13;399;57;342
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;voll.;27,249;20,250;6,999;23;15;8;16;12;4;86;74;12;245;202;43;689;586;103;1,059;889;170;1,379;1,248;131;1,928;1,734;194;3,307;2,982;325;2,855;2,415;440;7,221;6,286;935;1,522;1,214;308;1,379;1,064;315;2,901;2,278;623;2,940;2,219;721;5,155;3,772;1,383;3,576;2,467;1,109;2,964;1,889;1,075;2,492;1,339;1,153;20,028;13,964;6,064
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;vers.;7,464;5,364;2,100;10;6;4;16;8;8;57;47;10;177;140;37;295;242;53;555;443;112;435;374;61;451;390;61;886;764;122;715;580;135;2,156;1,787;369;426;336;90;325;242;83;751;578;173;718;525;193;1,241;906;335;982;662;320;850;505;345;766;401;365;5,308;3,577;1,731
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;insg.;34,713;25,614;9,099;33;21;12;32;20;12;143;121;22;422;342;80;984;828;156;1,614;1,332;282;1,814;1,622;192;2,379;2,124;255;4,193;3,746;447;3,570;2,995;575;9,377;8,073;1,304;1,948;1,550;398;1,704;1,306;398;3,652;2,856;796;3,658;2,744;914;6,396;4,678;1,718;4,558;3,129;1,429;3,814;2,394;1,420;3,258;1,740;1,518;25,336;17,541;7,795
210010;Sonstiger Raub § 249 StGB;voll.;2,273;1,599;674;2;1;1;2;2;0;10;10;0;34;28;6;65;56;9;113;97;16;128;111;17;193;169;24;321;280;41;286;227;59;720;604;116;123;88;35;101;68;33;224;156;68;212;147;65;389;243;146;257;166;91;201;143;58;270;140;130;1,553;995;558
210010;Sonstiger Raub § 249 StGB;vers.;574;379;195;1;1;0;0;0;0;2;1;1;20;13;7;24;21;3;47;36;11;31;26;5;38;28;10;69;54;15;43;31;12;159;121;38;23;13;10;29;22;7;52;35;17;60;44;16;94;71;23;70;41;29;64;31;33;75;36;39;415;258;157
210010;Sonstiger Raub § 249 StGB;insg.;2,847;1,978;869;3;2;1;2;2;0;12;11;1;54;41;13;89;77;12;160;133;27;159;137;22;231;197;34;390;334;56;329;258;71;879;725;154;146;101;45;130;90;40;276;191;85;272;191;81;483;314;169;327;207;120;265;174;91;345;176;169;1,968;1,253;715
210020;Sonstiger schwerer Raub § 250 StGB;voll.;785;661;124;0;0;0;0;0;0;1;1;0;3;2;1;18;16;2;22;19;3;28;24;4;68;64;4;96;88;8;101;89;12;219;196;23;67;64;3;49;43;6;116;107;9;89;75;14;123;103;20;103;82;21;75;56;19;60;42;18;566;465;101
210020;Sonstiger schwerer Raub § 250 StGB;vers.;194;154;40;0;0;0;2;0;2;1;1;0;3;3;0;12;9;3;18;13;5;9;8;1;10;7;3;19;15;4;19;15;4;56;43;13;12;11;1;10;7;3;22;18;4;21;18;3;26;23;3;31;24;7;22;19;3;16;9;7;138;111;27
210020;Sonstiger schwerer Raub § 250 StGB;insg.;979;815;164;0;0;0;2;0;2;2;2;0;6;5;1;30;25;5;40;32;8;37;32;5;78;71;7;115;103;12;120;104;16;275;239;36;79;75;4;59;50;9;138;125;13;110;93;17;149;126;23;134;106;28;97;75;22;76;51;25;704;576;128
210030;Sonstiger Raub mit Todesfolge § 251 StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210030;Sonstiger Raub mit Todesfolge § 251 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210030;Sonstiger Raub mit Todesfolge § 251 StGB;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210040;Räuberischer Diebstahl § 252 StGB;voll.;7,510;5,156;2,354;7;4;3;2;2;0;8;8;0;13;11;2;53;42;11;83;67;16;98;79;19;191;152;39;289;231;58;443;341;102;815;639;176;345;250;95;361;254;107;706;504;202;913;657;256;1,864;1,309;555;1,500;992;508;1,162;691;471;550;364;186;6,695;4,517;2,178
210040;Räuberischer Diebstahl § 252 StGB;vers.;852;563;289;1;1;0;1;1;0;0;0;0;7;7;0;6;5;1;15;14;1;6;4;2;8;7;1;14;11;3;39;28;11;68;53;15;39;29;10;33;19;14;72;48;24;94;62;32;214;146;68;182;117;65;151;90;61;71;47;24;784;510;274
210040;Räuberischer Diebstahl § 252 StGB;insg.;8,362;5,719;2,643;8;5;3;3;3;0;8;8;0;20;18;2;59;47;12;98;81;17;104;83;21;199;159;40;303;242;61;482;369;113;883;692;191;384;279;105;394;273;121;778;552;226;1,007;719;288;2,078;1,455;623;1,682;1,109;573;1,313;781;532;621;411;210;7,479;5,027;2,452
210050;Sonstige räuberische Erpressung § 255 StGB;voll.;1,451;1,176;275;2;1;1;1;1;0;11;9;2;28;24;4;100;82;18;142;117;25;145;131;14;127;116;11;272;247;25;180;161;19;594;525;69;80;66;14;63;50;13;143;116;27;129;103;26;220;166;54;178;137;41;112;78;34;75;51;24;857;651;206
210050;Sonstige räuberische Erpressung § 255 StGB;vers.;1,310;972;338;2;1;1;5;2;3;11;10;1;36;28;8;62;49;13;116;90;26;73;64;9;86;74;12;159;138;21;104;81;23;379;309;70;74;58;16;53;38;15;127;96;31;110;83;27;216;163;53;200;145;55;165;106;59;113;70;43;931;663;268
210050;Sonstige räuberische Erpressung § 255 StGB;insg.;2,761;2,148;613;4;2;2;6;3;3;22;19;3;64;52;12;162;131;31;258;207;51;218;195;23;213;190;23;431;385;46;284;242;42;973;834;139;154;124;30;116;88;28;270;212;58;239;186;53;436;329;107;378;282;96;277;184;93;188;121;67;1,788;1,314;474
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;voll.;42;10;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;2;4;1;3;1;0;1;5;0;5;9;4;5;14;2;12;9;3;6;42;10;32
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;vers.;26;8;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;2;3;0;3;1;1;0;1;0;1;5;1;4;9;3;6;6;2;4;25;7;18
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;insg.;68;18;50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;4;0;4;7;1;6;2;1;1;6;0;6;14;5;9;23;5;18;15;5;10;67;17;50
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);voll.;18;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;2;4;1;3;1;0;1;3;0;3;6;4;2;1;0;1;3;1;2;18;6;12
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);vers.;16;5;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;2;3;0;3;1;1;0;0;0;0;2;0;2;6;2;4;3;1;2;15;4;11
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);insg.;34;11;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;4;0;4;7;1;6;2;1;1;3;0;3;8;4;4;7;2;5;6;2;4;33;10;23
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;vers.;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;insg.;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;voll.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2;0;2;1;1;0;0;0;0;1;0;1;5;1;4
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;vers.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;insg.;6;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;2;0;2;1;1;0;1;1;0;1;0;1;6;2;4
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;voll.;13;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;1;3;1;2;1;0;1;1;0;1;5;3;2;1;0;1;2;1;1;13;5;8
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;vers.;14;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;3;0;3;1;1;0;0;0;0;2;0;2;5;1;4;3;1;2;14;3;11
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;insg.;27;8;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;3;0;3;6;1;5;2;1;1;1;0;1;7;3;4;6;1;5;5;2;3;27;8;19
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;voll.;24;4;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;0;3;13;2;11;6;2;4;24;4;20
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;vers.;10;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;1;2;3;1;2;3;1;2;10;3;7
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;insg.;34;7;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;6;1;5;16;3;13;9;3;6;34;7;27
211210;Raub auf Postfilialen und -agenturen § 249 StGB;voll.;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;1;1;1;1;0;5;2;3
211210;Raub auf Postfilialen und -agenturen § 249 StGB;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
211210;Raub auf Postfilialen und -agenturen § 249 StGB;insg.;6;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;3;1;2;1;1;0;6;2;4
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;voll.;15;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;2;7;1;6;5;1;4;15;2;13
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;vers.;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;1;1;2;0;2;6;1;5
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;insg.;21;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;0;3;9;2;7;7;1;6;21;3;18
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;voll.;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;4;0;4
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;vers.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;3;2;1
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;insg.;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;4;0;4;1;1;0;7;2;5
