1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
20010;Totschlag § 212 StGB;vers.;1,340;1,036;304;36;19;17;1;0;1;3;1;2;3;2;1;9;4;5;52;26;26;20;17;3;38;32;6;58;49;9;106;100;6;216;175;41;96;78;18;82;71;11;178;149;29;187;157;30;294;233;61;216;163;53;124;88;36;125;71;54;1,124;861;263
20010;Totschlag § 212 StGB;insg.;1,688;1,228;460;81;40;41;4;1;3;4;1;3;3;2;1;10;4;6;102;48;54;22;18;4;41;35;6;63;53;10;113;106;7;278;207;71;101;82;19;86;74;12;187;156;31;208;172;36;340;266;74;267;194;73;168;112;56;240;121;119;1,410;1,021;389
20020;Minder schwerer Totschlag § 213 StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20020;Minder schwerer Totschlag § 213 StGB;vers.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
20020;Minder schwerer Totschlag § 213 StGB;insg.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
20030;Tötung auf Verlangen § 216 StGB;voll.;16;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;13;16;3;13
20030;Tötung auf Verlangen § 216 StGB;vers.;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;3;0;3;6;1;5
20030;Tötung auf Verlangen § 216 StGB;insg.;22;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;0;0;0;0;0;19;3;16;22;4;18
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;voll.;815;475;340;51;30;21;3;0;3;2;1;1;2;2;0;4;1;3;62;34;28;2;2;0;7;3;4;9;5;4;8;6;2;79;45;34;17;15;2;4;3;1;21;18;3;24;15;9;43;33;10;62;47;15;91;61;30;495;256;239;736;430;306
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;insg.;815;475;340;51;30;21;3;0;3;2;1;1;2;2;0;4;1;3;62;34;28;2;2;0;7;3;4;9;5;4;8;6;2;79;45;34;17;15;2;4;3;1;21;18;3;24;15;9;43;33;10;62;47;15;91;61;30;495;256;239;736;430;306
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;voll.;29,280;2,297;26,983;52;14;38;60;13;47;136;35;101;354;79;275;974;103;871;1,576;244;1,332;3,774;262;3,512;3,882;295;3,587;7,656;557;7,099;4,885;317;4,568;14,117;1,118;12,999;2,274;161;2,113;1,728;141;1,587;4,002;302;3,700;3,101;228;2,873;4,088;329;3,759;2,054;144;1,910;1,140;104;1,036;778;72;706;15,163;1,179;13,984
