------;Straftaten insgesamt;5315;Köln;KfS;voll.;20,085;11,723;8,362;16,411;9,732;6,679;1,272;779;493;553;374;179;290;171;119;179;95;84;90;55;35;160;84;76
------;Straftaten insgesamt;5316;Leverkusen;KfS;voll.;2,209;1,154;1,055;1,697;901;796;182;105;77;64;41;23;63;37;26;21;14;7;13;5;8;21;8;13
------;Straftaten insgesamt;5334;Aachen;K;voll.;7,658;4,252;3,406;6,128;3,445;2,683;573;359;214;237;157;80;142;99;43;75;45;30;55;28;27;64;30;34
------;Straftaten insgesamt;5358;Düren;K;voll.;2,946;1,612;1,334;2,322;1,266;1,056;190;108;82;85;53;32;42;21;21;32;21;11;18;9;9;13;4;9
------;Straftaten insgesamt;5362;Rhein-Erft-Kreis;K;voll.;5,534;2,953;2,581;4,244;2,316;1,928;431;265;166;178;124;54;83;52;31;60;30;30;46;29;17;64;30;34
------;Straftaten insgesamt;5366;Euskirchen;K;voll.;2,070;1,173;897;1,591;925;666;179;125;54;74;50;24;49;37;12;22;18;4;14;10;4;20;10;10
------;Straftaten insgesamt;5370;Heinsberg;K;voll.;2,898;1,520;1,378;2,205;1,166;1,039;211;113;98;86;45;41;56;31;25;22;13;9;27;15;12;20;9;11
------;Straftaten insgesamt;5374;Oberbergischer Kreis;K;voll.;2,577;1,380;1,197;2,005;1,098;907;254;130;124;102;55;47;70;35;35;25;16;9;19;12;7;38;12;26
------;Straftaten insgesamt;5378;Rheinisch-Bergischer Kreis;K;voll.;2,978;1,613;1,365;2,387;1,294;1,093;323;205;118;142;103;39;58;37;21;56;34;22;29;15;14;38;16;22
------;Straftaten insgesamt;5382;Rhein-Sieg-Kreis;K;voll.;5,714;3,046;2,668;4,464;2,422;2,042;519;280;239;213;125;88;124;69;55;72;31;41;43;27;16;67;28;39
------;Straftaten insgesamt;5512;Bottrop;KfS;voll.;1,275;657;618;965;500;465;81;51;30;44;30;14;17;10;7;6;5;1;6;3;3;8;3;5
------;Straftaten insgesamt;5513;Gelsenkirchen;KfS;voll.;4,359;2,245;2,114;3,150;1,689;1,461;231;127;104;96;55;41;55;36;19;34;18;16;20;11;9;26;7;19
------;Straftaten insgesamt;5515;Münster;KfS;voll.;4,157;2,591;1,566;3,322;2,090;1,232;257;166;91;128;90;38;53;37;16;31;17;14;23;13;10;22;9;13
------;Straftaten insgesamt;5554;Borken;K;voll.;4,385;2,420;1,965;3,318;1,858;1,460;330;203;127;120;74;46;90;54;36;58;42;16;31;18;13;31;15;16
------;Straftaten insgesamt;5558;Coesfeld;K;voll.;1,708;956;752;1,298;734;564;131;79;52;54;33;21;32;20;12;20;15;5;8;4;4;17;7;10
------;Straftaten insgesamt;5562;Recklinghausen;K;voll.;7,525;4,025;3,500;5,739;3,100;2,639;588;315;273;248;143;105;137;76;61;64;32;32;53;32;21;86;32;54
------;Straftaten insgesamt;5566;Steinfurt;K;voll.;4,368;2,408;1,960;3,383;1,891;1,492;311;179;132;120;79;41;66;37;29;61;33;28;22;13;9;42;17;25
------;Straftaten insgesamt;5570;Warendorf;K;voll.;2,541;1,370;1,171;1,959;1,085;874;199;91;108;78;35;43;65;32;33;22;14;8;7;1;6;27;9;18
------;Straftaten insgesamt;5711;Bielefeld;KfS;voll.;3,814;2,045;1,769;3,021;1,659;1,362;268;147;121;121;67;54;53;30;23;42;25;17;20;13;7;32;12;20
------;Straftaten insgesamt;5754;Gütersloh;K;voll.;3,408;1,886;1,522;2,632;1,506;1,126;216;119;97;86;59;27;45;22;23;29;12;17;25;10;15;31;16;15
------;Straftaten insgesamt;5758;Herford;K;voll.;2,360;1,316;1,044;1,797;1,003;794;184;98;86;81;38;43;34;24;10;32;16;16;18;10;8;19;10;9
------;Straftaten insgesamt;5762;Höxter;K;voll.;1,295;733;562;966;545;421;98;52;46;34;18;16;23;12;11;20;11;9;6;5;1;15;6;9
------;Straftaten insgesamt;5766;Lippe;K;voll.;2,951;1,466;1,485;2,176;1,116;1,060;254;143;111;114;69;45;52;31;21;31;14;17;23;14;9;34;15;19
------;Straftaten insgesamt;5770;Minden-Lübbecke;K;voll.;3,409;2,044;1,365;2,574;1,557;1,017;178;111;67;72;45;27;44;31;13;13;10;3;18;11;7;31;14;17
------;Straftaten insgesamt;5774;Paderborn;K;voll.;3,003;1,750;1,253;2,297;1,369;928;200;103;97;77;43;34;45;23;22;33;17;16;21;12;9;24;8;16
------;Straftaten insgesamt;5911;Bochum;KfS;voll.;5,283;2,995;2,288;4,222;2,426;1,796;317;171;146;138;77;61;63;33;30;46;27;19;35;19;16;35;15;20
------;Straftaten insgesamt;5913;Dortmund;KfS;voll.;10,710;6,256;4,454;8,560;5,119;3,441;619;385;234;266;169;97;131;84;47;101;70;31;54;30;24;67;32;35
------;Straftaten insgesamt;5914;Hagen;KfS;voll.;2,889;1,685;1,204;2,256;1,343;913;164;100;64;71;47;24;37;21;16;22;16;6;13;8;5;21;8;13
------;Straftaten insgesamt;5915;Hamm;KfS;voll.;2,656;1,506;1,150;2,043;1,186;857;146;82;64;69;39;30;33;18;15;21;11;10;13;8;5;10;6;4
------;Straftaten insgesamt;5916;Herne;KfS;voll.;2,330;1,194;1,136;1,825;955;870;165;105;60;59;40;19;49;36;13;19;12;7;13;6;7;25;11;14
------;Straftaten insgesamt;5954;Ennepe-Ruhr-Kreis;K;voll.;3,672;1,932;1,740;2,908;1,533;1,375;305;173;132;117;66;51;69;42;27;41;30;11;34;16;18;44;19;25
------;Straftaten insgesamt;5958;Hochsauerlandkreis;K;voll.;2,475;1,359;1,116;1,809;1,011;798;160;94;66;59;35;24;45;25;20;24;18;6;16;11;5;16;5;11
------;Straftaten insgesamt;5962;Märkischer Kreis;K;voll.;5,063;2,861;2,202;3,801;2,189;1,612;324;186;138;134;81;53;78;48;30;41;18;23;30;18;12;41;21;20
------;Straftaten insgesamt;5966;Olpe;K;voll.;1,318;791;527;993;587;406;84;52;32;36;16;20;22;17;5;16;11;5;6;6;0;4;2;2
